RIL	length	width	depth	circularity	volume	crease_depth	surface_area	z	geometry_ratio
26	4.41818947368421	1.31371650605916	0.7944813623525919	0.5376223003044952	2.03506734592	0.35534584009648823	14.198403368421053	527.2209792290874	0.4429210269001564
28	4.7064	1.3641558602642418	0.700936252373318	0.5110772415306941	1.973521461686857	0.3537403791971748	14.830913300317457	675.4881842380915	0.5628772839792758
29	4.7064	1.4271337229719547	0.8096554949039105	0.5442069515939147	2.4153252251306667	0.3849202433481253	16.503155057777782	899.6443640778025	0.46282203064195154
30	4.80408	1.483535795810813	0.7564383056916688	0.5550124667614545	2.4249174715392	0.3311099502720833	16.51748514133334	967.3534046471431	0.5103919596499272
31	4.347253333333334	1.2289295301424752	0.7326027620603216	0.5419781320759424	1.7813482789205335	0.35453852825638815	13.602442410666658	784.9797744933209	0.48723799708419663
32	4.4992	1.5611112427424834	0.8003134801274571	0.5206776817056662	2.405651717802667	0.41967877355506805	15.901719893333333	721.939105347291	0.4144629292422247
33	4.3917052631578946	1.4884608666835757	0.7587550412306543	0.46501726772762886	1.941336560720842	0.4314205535282414	15.150743174736837	857.0921983008002	0.4421767603397416
34	4.6324000000000005	1.28153679554375	0.7056839089062431	0.4940481618440372	1.6772340225706668	0.36961235809899146	14.051172622222225	908.45471765242	0.5498157435777244
36	4.733723076923077	1.4390410737182653	0.7507142089217917	0.5694110910256917	2.3950060053661537	0.33240075771511374	15.711301120000016	798.368245251378	0.507061967838798
37	4.65904	1.4524304162693924	0.7695302230047338	0.5459360857263645	2.3213616678911997	0.360564128887534	15.742998641777787	802.2566792807901	0.48270328463905476
41	4.14992	1.2926222951020339	0.8406338279815926	0.4792216078945045	1.8547536880128	0.4630779721097202	14.609325482666659	807.392365258093	0.3758184382466644
42	4.4572666666666665	1.311406050687261	0.8923471826250579	0.4880544872026035	2.184563664597333	0.4971520120090269	15.288407893333332	806.6047907549372	0.3809721004782546
43	4.5935500000000005	1.3324962944062893	0.789292189734104	0.5336134243108306	2.1719195952	0.36763704197103536	15.026874133333331	827.7680577395489	0.4641602301170254
44	4.785333333333334	1.36509511773714	0.7333138614680167	0.5395887743853578	2.1769281638400004	0.31033704047609034	15.152895146666632	1001.0343219176477	0.5449458364156988
45	4.247599999999999	1.3785776494232498	0.7662288425442256	0.503263822324909	1.869878592768	0.404937428286567	14.115327004444433	972.6421563924416	0.42438946264206123
46	4.33048	1.435774766302628	0.7847485918304052	0.49799775803487367	2.0293799460352	0.4028189360616367	14.977020629333346	901.7086184081865	0.41411103273526234
47	4.568847058823529	1.398474685302598	0.7834608708441322	0.5495103209655255	2.2798981566042356	0.38265014812590414	15.103486594509805	671.4706631844915	0.4580512402302686
48	4.268834782608695	1.4011522346036596	0.7456135971297918	0.5105834796734223	1.8666610437342608	0.38109405471744656	13.769324224927534	549.7933103575889	0.4464861872973431
49	4.6583000000000006	1.37938216590157	0.6828445459247204	0.511227365283246	1.900957652672	0.33526245119680775	14.952692586666673	918.3645348593195	0.5742183683596119
50	4.5288	1.3843235651384775	0.7229769478829542	0.5398909130854117	1.93400448032	0.35739640750468155	14.151152213333338	963.63433861162	0.5125937119114833
51	4.58208	1.353298187771458	0.7242000627943128	0.5478892762308343	2.0672560063897603	0.3271294521674886	14.384070587733332	774.8364426529104	0.5174276669585637
54	4.441741176470588	1.4246025537632105	0.8449703841163315	0.4567900605782061	2.1223211310682353	0.47608396474500403	15.789571413333327	716.044336690821	0.39654922819489447
56	4.4918	1.308960005917565	0.8126492404638457	0.5216936052892547	2.08849207808	0.41912089479805503	15.020010879999997	1017.0636898754091	0.4349912993193505
58	4.3438	1.57537764414708	0.746917768669125	0.5619102762878204	2.263568296832	0.2973452005937748	15.500730666666675	867.5681706510278	0.4496086163113872
59	4.302763636363636	1.1566077310373946	0.7477420297663232	0.4822454339612522	1.5578849941876363	0.4134804418074553	13.118292324848492	951.4731765816848	0.47593096237900107
60	4.155384615384615	1.2850200472094677	0.7675573952635796	0.4945826921960745	1.7152830183975385	0.43548256551075937	13.25499779282051	841.1488073957394	0.41531291749012955
61	4.4375333333333336	1.2356315589680724	0.7701653019699485	0.512979416520291	1.8619578143146664	0.3892235635221181	14.162250239999999	933.5651026901022	0.4678669376849971
62	4.2993999999999994	1.4212444300537448	0.72817068241536	0.5661837665890076	1.986356179328	0.3416196598988675	13.790466346666673	1076.6987743671673	0.45066221336587897
63	4.1884	1.2930721338084545	0.8445701671221957	0.5062886041338073	1.9528571216960002	0.4225437659474361	14.054628586666675	825.5135768292431	0.3942811512664682
64	4.1007384615384614	1.5312788180448507	0.7447186231992327	0.5085392400805498	1.9008212480393847	0.36877439348673824	14.052887499487184	875.6338163787968	0.42650955476577057
65	4.573978947368421	1.3163450868934485	0.7677623986668641	0.5220708641080689	2.0461099131957896	0.3680818835723492	14.582622585263158	752.9201983725735	0.4841572308331094
67	4.3808	1.443458370296109	0.7312068923791839	0.4895172764432913	1.945876806749091	0.3823203318798349	14.360952707878791	1022.8385612278133	0.4689576421387676
69	4.4065391304347825	1.326396228682983	0.7103929019081341	0.5105928669364778	1.7692708465753044	0.3704185006857533	13.88365675594204	849.212742496885	0.5061223051035443
70	4.332984615384616	1.4357951027387776	0.6872171976915054	0.4877531943561566	1.7323976852086154	0.3681301135369347	14.04165467897437	832.5356990277722	0.5115469355813074
71	4.69752	1.422443705458071	0.7461646994865381	0.5216298386414312	2.1810231954944	0.34921327665465957	16.180806058666658	769.9631118226805	0.5242290396475725
72	3.793353846153846	1.2611708642403083	0.7616613438245992	0.48254773065545076	1.4867496495655383	0.42629395277881693	12.244942572307682	847.8003986720183	0.351097695671833
73	4.241257142857143	1.4466316594926556	0.7483739196132545	0.5098670146273959	1.9131549722575236	0.3730728134286272	13.963765231746029	734.185879103041	0.42499023558204335
74	3.9959999999999996	1.38925240537631	0.658506928392557	0.49284270115088347	1.586934987008	0.3474533309620286	12.60385365333335	873.5769641843597	0.4737223699606322
75	4.39856	1.374708797132336	0.7817284039803527	0.5169178182635038	2.0298337969152	0.40015204618110733	14.40383675733332	943.1328723456671	0.4302012359975578
76	4.0847999999999995	1.5260174400261228	0.6901718055105924	0.48919511284860534	1.7693192423014399	0.3578534074459957	13.8108049408	778.8029290264258	0.4496197901001766
77	4.6028	1.3435314580191513	0.8660484288735409	0.5049356072793334	2.233734085056	0.4498455498681525	15.451957760000012	977.4935153181507	0.41045718143988585
78	4.770981818181818	1.234706321002688	0.8353301744471625	0.5105506438421699	2.2009692933119998	0.4488097651627896	15.116892935757573	665.3001361159465	0.48428792730356895
80	4.620888888888889	1.483703636529681	0.792359319604461	0.4978815010870444	2.235225669575111	0.40936945750018394	15.487782968888888	823.1497087663906	0.45378055251496496
