RIL	median_length	median_width	median_depth	median_circularity	median_volume	median_crease_depth	median_surface_area	median_z	median_geometry_ratio	median_grain_count	se_length	se_width	se_depth	se_circularity	se_volume	se_crease_depth	se_surface_area	se_z	se_geometry_ratio	se_grain_count
28	4.7064	1.3423974078817102	0.7043389101527239	0.5117544464865021	2.0450520652799997	0.355082550768944	14.9134114133333	696.222258374549	0.5647305014946783	21	0.05203606075643721	0.02227684531118218	0.01100143431573594	0.005546599881530448	0.03117343086793178	0.005765427760161544	0.19153217178097975	47.783269525541314	0.013922199632376255	0
29	4.691599999999999	1.4259546557680247	0.7962435339722336	0.5445159125896686	2.3925592005119998	0.3663636271893299	16.50393386666665	846.6838935319736	0.48391261799066054	6	0.07004638463189944	0.0298461083644677	0.03967579635185761	0.009142006831665472	0.08394996417468573	0.01362401041717386	0.5445594775581574	73.6906843461013	0.03660157194939747	0
30	4.81	1.4843565020356548	0.7544360765905809	0.546083705707098	2.453543791616	0.338211607058729	16.44902784	957.1543722788551	0.5181101113327706	10	0.05703069894558742	0.02310453071165378	0.015391034904164502	0.00968674469202162	0.06798102798868313	0.010905858495274883	0.29461628202749984	53.220081974700115	0.011383783301974065	0
31	4.588	1.23077678397881	0.7357637671626008	0.5084418949923519	1.9737067069439997	0.38666690889080607	14.037251413333298	815.6940604178469	0.5284388510436819	15	0.17886096272608398	0.0295326440311298	0.022866064796727717	0.0284725066413641	0.09149062350088323	0.02774395775821085	0.6348600333217704	51.591166849263175	0.031849477121742756	0
32	4.5584	1.56542238410176	0.8269986949117291	0.520618713426257	2.4643843440640003	0.42560004965936105	15.698450773333299	717.392004002821	0.40269731440731393	3	0.2580468174576081	0.012227754089859929	0.032784526909558284	0.002111579224822001	0.14163966819496793	0.013469108909700959	0.32263491852005194	58.649489064240846	0.01928611103688877	0
33	4.469600000000001	1.49930158142572	0.7602244156085501	0.46866754056964804	1.9272064424959998	0.44931003330578506	15.162240853333302	819.0548619067303	0.43455875116429205	19	0.07887523254103652	0.01600414646334096	0.01768096920417144	0.00591056576298393	0.06020484412040197	0.012032073671257472	0.43892713768614766	42.743188672719505	0.019886375649490865	0
34	4.6916	1.2873086232997397	0.6976656335171021	0.49082256932525004	1.703600597504	0.367994721933558	14.28257621333335	926.2735653557527	0.5625963732607879	12	0.06673689634177889	0.011324801492877238	0.009360521528421562	0.004729526465245881	0.05544547719101085	0.006648678377606716	0.3217824378830888	50.36446445785251	0.01324949927037826	0
36	4.7656	1.44156983415377	0.7521492781183241	0.5695262226619701	2.47167189248	0.33056998405053395	16.319940266666702	730.485968742933	0.5192749193396727	13	0.06265332184068602	0.02135336644787765	0.010916399247547158	0.008204950455902362	0.07347471016371414	0.008095232130227285	0.43650124543686786	67.24024235927473	0.013513676984533114	0
37	4.7064	1.4642315872742797	0.7519621787028398	0.5484020265361701	2.354474628096	0.356163946940849	15.6575633066667	801.5955957262051	0.5086758437303966	15	0.0705094473913147	0.011801821237276664	0.021989005792574182	0.004976151288785811	0.060743591384672085	0.010860001221377777	0.40673399595359794	49.60095302613468	0.024532845474753186	0
41	4.247599999999999	1.2421314027354549	0.842466450496308	0.4738820377006715	1.9279715054080002	0.4870951470992496	15.029648640000001	855.566801807299	0.39258647362275717	10	0.21862182304406647	0.06428279696785728	0.03678367337642991	0.012763795575924964	0.130217976400803	0.02370034545241686	0.630933241776385	75.43938282568035	0.041210344874226104	0
42	4.5287999999999995	1.2885167975385148	0.912448373014221	0.4856202628795686	2.292413762048	0.5078873631847804	15.51737770666665	830.5380734038849	0.3798619035134987	12	0.09718393474086744	0.03514240996683414	0.027318176202832833	0.007156931964176521	0.09307010058798554	0.01279109145746026	0.4382647747419285	74.30162633790091	0.015236708946232165	0
43	4.587999999999999	1.332879993463175	0.7941917859598407	0.532244348385335	2.1562066293760003	0.377676766061798	15.331631786666652	798.7058551974966	0.4549195774509904	16	0.04257144387184129	0.015315596321678377	0.012934317261542639	0.003119476693389457	0.03915364218120095	0.008356545617588378	0.24631453031111195	46.830516181726615	0.011316488752912763	0
44	4.943200000000001	1.3560081490932803	0.745192404718417	0.5230975354880171	2.1535094584320005	0.34021804192158595	14.0898210133333	1028.2827511241721	0.5090795367324876	3	0.20388458608841553	0.03004288375196834	0.04672988799176203	0.01665535775597978	0.23259656983039545	0.03756521499692393	1.2387755338757234	39.35659946917088	0.061744363181171394	0
45	4.3364	1.38326987748991	0.7543332210008256	0.5043043142477626	1.8821844352000001	0.40144630213765303	14.435028053333301	991.5480149717346	0.466305181417271	12	0.12449393316117614	0.044943848541646014	0.022585050104654884	0.005632305570225543	0.09758550511148217	0.013700830355692478	0.5736637383485383	52.38694307531578	0.029844448431387532	0
46	4.3512	1.4567719640890897	0.7978448788138138	0.4936684441342335	2.1157490652160007	0.408733663999156	15.478242560000002	896.0163353116816	0.4150765888541549	20	0.05974663417077856	0.022582652937078895	0.016738516048386415	0.006203686368159906	0.06338879606983731	0.011149077805111372	0.42423140812066035	43.610354441062526	0.01751735648782605	0
47	4.7064	1.4019306714701596	0.7831497799406769	0.5453071164234201	2.38816333056	0.36624424948320794	15.7533568	682.312190361304	0.4775797256928436	17	0.10409447000259482	0.019849987449347777	0.01690573711873388	0.008477058488034506	0.09278020257705975	0.012083573758698856	0.3958334582878791	60.10767346050815	0.02068528988831711	0
48	4.3512	1.39644224898149	0.729025873602917	0.511129063632604	1.8888754938880001	0.37045042550499	13.9648221866667	539.5170371435789	0.47034850373847953	23	0.09448638746064679	0.01111463944316605	0.02325895415086403	0.003925564063452704	0.05232236828246987	0.01124712319628999	0.26620953783934204	65.84400432730736	0.024203653393308662	0
49	4.691599999999999	1.3949924258584652	0.6924045682145024	0.5146725299258585	1.96186768256	0.3256832864098165	15.652890453333349	912.0244877514622	0.5869840659816521	8	0.09070661497377143	0.015394297238503862	0.025812918324109233	0.00786476335208777	0.09116680111892814	0.016631247983420167	0.5475732166636105	51.93554517732741	0.038404443120159275	0
50	4.5436000000000005	1.398985226965235	0.6835492233911679	0.5355387934721361	2.066071844608	0.343917574837974	14.09683029333335	928.2607589265116	0.5602985969490129	8	0.09259509397679458	0.02136742578570056	0.03634533319385534	0.009847540435388397	0.11057017759470382	0.02320619318763346	0.7195777240861729	62.17079738773592	0.03892170185372688	0
51	4.6175999999999995	1.34445731759805	0.7223398658092298	0.550004523041088	2.1501379947520003	0.3278872068646261	14.631871999999998	747.69117177871	0.5325360462582958	25	0.0573201535238698	0.015030959735749921	0.011708328753858101	0.0049428883219879045	0.05135234657494423	0.006935307335717478	0.24974375935747037	50.97761268811764	0.015274129442885037	0
54	4.5584	1.39977616100484	0.8679843195604381	0.46303429052657996	2.235306354176	0.48464101352003597	15.985831253333302	748.374484535041	0.40773015012682706	17	0.08746487658870959	0.021283111632021286	0.02629822870069307	0.005768106888833824	0.07221508158097918	0.014503156387997852	0.36851814406188355	63.96717582725853	0.02544526418607765	0
56	4.4992	1.3194416196142247	0.8160665294983629	0.5197772844398141	2.212250729472	0.42580401682607855	15.4379392	1007.1073833013326	0.44209189001756327	4	0.12463381028704301	0.07038563470671036	0.042102332478710425	0.008966831697804307	0.17627706142815733	0.016591765235967913	1.1137909309173193	45.78412720542105	0.03781629535325209	0
58	4.6324000000000005	1.4450388745284348	0.7572596843466805	0.5802008354907154	2.315624992768	0.2971831047215421	15.400556373333348	930.8636707499995	0.4307345980652788	4	0.4579836823876299	0.13690207107635452	0.04639337220150404	0.02395782295557282	0.16052770987661144	0.024050828060221272	0.8566116776076885	127.97100759163096	0.05399889211697139	0
59	4.3512	1.14606322575966	0.7406037346631291	0.4820284998767641	1.604090550272	0.410446442556464	12.859692373333303	952.0510749460861	0.46560680898879975	11	0.09746144344651218	0.022673308590842493	0.017081873560445025	0.00790331633758314	0.044977819050140644	0.009259031085172096	0.22967562852106252	58.37281056121864	0.022764485079329006	0
60	4.203200000000001	1.31175805994081	0.75250181962422	0.4815727137893051	1.7851900185599998	0.4053221293312791	12.775581013333301	806.985757098545	0.42515410467900333	13	0.099227008475744	0.028267177456936618	0.01936143360765704	0.009386998479277556	0.05534759929731806	0.012103974355340897	0.3985081962855948	55.25907857661723	0.027036862466764202	0
61	4.514	1.2613087552356452	0.794776946673271	0.505110560791202	2.0135029455359996	0.4211735444554866	14.74402048	936.460998819368	0.44891626721374134	12	0.07153333333333335	0.02437482093583472	0.024199601074839292	0.010434213931557575	0.09543019252006098	0.018006049586052876	0.5450817793972532	54.54003008246645	0.016527973934454904	0
62	4.203200000000001	1.4157185177971698	0.7050295794184225	0.5716858155654396	1.9062904005119998	0.32702615760486053	13.19789013333335	1101.724399004715	0.45369620572791786	4	0.1957389758496417	0.028424583843816832	0.03222435539374812	0.0076709158265026115	0.245301075023814	0.016776174949855956	1.0667554808175685	80.39942480879195	0.0069707970946582595	0
63	4.3216	1.3225643619007852	0.872617422500889	0.483512393247772	2.098788009472	0.4435352631161821	14.8199543466667	811.7111953754616	0.38006047375418506	16	0.0979114429812301	0.03222106375005311	0.046997048062125325	0.017559274544439785	0.08815544931142552	0.03392369437103015	0.5392632360793933	46.290055869826475	0.04494218295421615	0
64	4.2328	1.4967593026090698	0.6935361527710358	0.5098236076787671	1.9514291123199996	0.35935408972581906	13.9484672	861.2752497853689	0.4871144587202905	13	0.18444482377597776	0.04172846053522574	0.038303909761548745	0.010348033128125163	0.05598373157404129	0.023663810378729253	0.40837233742390744	57.728499164290184	0.04907663443564597	0
65	4.6175999999999995	1.30842582411549	0.7693150207999448	0.5235429701766259	2.067070316544	0.35858596708978807	14.714815146666698	723.0825744950561	0.49369148939872376	19	0.06908033105826675	0.0177367130526194	0.01586694389317459	0.006649655342259999	0.04953156511042196	0.01063080724486362	0.3167619286183279	42.79514616620643	0.021943700968270377	0
67	4.44	1.42241282892269	0.717612743245476	0.484767470851156	1.97049084928	0.36964741749212493	14.273230506666701	1056.0845006329741	0.4817858790232106	11	0.08447911845270085	0.026928897163874164	0.021681054963658762	0.007658121725739554	0.031514132394306775	0.021427718418414215	0.2808566703567592	49.95813732042654	0.025492379481834988	0
69	4.469600000000001	1.30747093910598	0.7137842137562029	0.5068544762612801	1.7910252441599999	0.37652996878701306	13.958981119999999	900.908886961014	0.5211913940420516	23	0.10208560496307545	0.0217006129973431	0.013213225162038218	0.0071052949633326045	0.05103289347361433	0.009038386766484743	0.3462735426574466	53.605508044760626	0.02637673593104748	0
70	4.3512	1.4232016571535295	0.6516311342381331	0.49606472212470504	1.79634178304	0.35530008958888004	13.82230016	862.3902945853372	0.5441619770979633	13	0.12416713810587866	0.048116727197201885	0.02130539477089185	0.012211983327150757	0.05455605597097533	0.01588654850051175	0.3306512105819746	60.14820203180256	0.03383428785930268	0
71	4.81	1.482342054736205	0.7735910072305541	0.4907972966055165	2.20694715776	0.3914924117261946	16.3140992	733.827901703429	0.5109626451661016	10	0.10043181080824061	0.05149831306144194	0.03950579171417777	0.021048238725385308	0.11039232270567052	0.03931848348865118	0.6843195090677736	78.66344931306399	0.044420252753447215	0
72	3.8183999999999996	1.2645637230441098	0.7471046224404461	0.48599069355331204	1.439251910656	0.43026572943446506	12.0115694933333	821.4815331108979	0.34845936225557145	13	0.0696480461700522	0.010883071795391974	0.012846559995129405	0.0041826771269839295	0.05638274767331407	0.008712990795544683	0.32373956446179525	51.24651873245768	0.012305778633493459	0
73	4.143999999999999	1.4242357985413299	0.759633965694703	0.509968378378383	1.9442712355839997	0.3819318320381909	14.1003349333333	720.9091366946761	0.437055875930271	21	0.07477520488307687	0.01332414036040181	0.015183478269916803	0.004684034407837506	0.06726508294956125	0.010020715376694715	0.3464123006358175	48.47394341038255	0.012115495294895851	0
74	3.9959999999999996	1.38925240537631	0.658506928392557	0.49284270115088347	1.586934987008	0.3474533309620286	12.60385365333335	873.5769641843597	0.4737223699606322	2	0.1479999999999997	0.13138772412749034	0.05312680891325805	0.020520118965439343	0.024028162303999956	0.030977065705255463	1.010504533333349	98.65143891719345	0.07632170786911859	0
75	4.3808	1.3891642426570052	0.7966440423832439	0.508911607347646	2.1027689300479997	0.40393693141694254	14.852080213333348	942.9502330740036	0.43488609849867016	10	0.08455451259394729	0.017739959426665737	0.01668645009934675	0.00757370850098359	0.06844026717487636	0.014992526439550024	0.3621851889118588	50.85612566031669	0.015943532322311126	0
76	4.114399999999999	1.5163558018510204	0.700035632714684	0.4873672617866821	1.7954859499520002	0.367125063961735	13.972999680000001	784.8879916964172	0.43413455466973905	25	0.047606027629562515	0.015273225687779812	0.012568814343488503	0.004446505970512047	0.040603261434823304	0.009199403190123894	0.23718999996595466	42.15443060134463	0.01735522154682255	0
77	4.6324000000000005	1.3659171154554448	0.8779615225875685	0.5057268257639598	2.2491812239360005	0.45543124911075306	15.7101329066667	983.3857431344506	0.415966750945091	8	0.0673591652476271	0.03380139783705926	0.015130018734187671	0.00583744565066703	0.06632919015860214	0.015372923507563306	0.3196153236976734	33.009510563644625	0.020119259629102364	0
78	4.7952	1.27207189683228	0.86378758812398	0.501488107361176	2.392649970687999	0.46455794989252003	15.783730346666701	629.4853705770889	0.4694905919068734	11	0.08158381949446714	0.03350780213463359	0.029518910251887437	0.012278473256901234	0.11890570017821639	0.0230548425543233	0.4857790552326109	59.03960257052777	0.029587812725943515	0
80	4.854399999999999	1.4632226554367098	0.7978850898220118	0.49703416903087305	2.2570133934079997	0.4024998894976551	15.364341759999999	912.2864744890951	0.4616746355842009	9	0.14487919531308802	0.04030138784867053	0.022911909174905116	0.006082604871497769	0.09290647825558002	0.01299535218931344	0.4242904527455034	89.63645814082643	0.029495226559433197	0
